,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
85,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,expandAnonymousAndLambdas#QAbstractCodeFragment;QListQStatementObject;QListQCompositeStatementObject;QSetQStatementObject;QSetQCompositeStatementObject;QUMLOperationBodyMapper,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
86,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,findBestMappingBasedOnMappedSwitchCases#QAbstractMap.SimpleEntryQCompositeStatementObjectQCompositeStatementObject;QTreeSetQLeafMapping,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
87,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,findReplacements#QSetQString;QSetQString;QReplacementInfo;QReplacementType,ExtractMethod,"EXTRACT_METHOD,EXTRACT_METHOD,PARAMETERIZE_VARIABLE",3,EXTRACT_METHOD,1
88,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,findReplacementsWithExactMatching#QAbstractCodeFragment;QAbstractCodeFragment;QMapQStringQString;QReplacementInfo,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
89,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,getRefactorings#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
90,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,identicalAfterVariableAndTypeReplacements#QString;QString;QSetQReplacement,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
91,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,inconsistentVariableMappingCount#QAbstractCodeFragment;QAbstractCodeFragment;QVariableDeclaration;QVariableDeclaration,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
92,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,initializeReplacementInfo#QAbstractCodeFragment;QAbstractCodeFragment;QList+QAbstractCodeFragment;QList+QAbstractCodeFragment,ExtractMethod,EXTRACT_METHOD,1,NA,0
93,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,invertConditionalDirection#QString;QString;QString;QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
94,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,multipleMappingsUnderTheSameSwitch#QSetQLeafMapping,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
95,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,nonMappedElementsT1#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
96,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,nonMappedElementsT2#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
97,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,normalizedEditDistance#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
98,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,nullLiteralReplacements#QAbstractCodeMapping,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
99,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,oneIsVariableDeclarationTheOtherIsVariableAssignment#QString;QString;QReplacementInfo,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
100,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,prepareConditional#QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
101,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,preprocessInput#QAbstractCodeFragment;QAbstractCodeFragment,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
102,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,processInnerNodes#QListQCompositeStatementObject;QListQCompositeStatementObject;QMapQStringQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
103,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,processLeaves#QList+QAbstractCodeFragment;QList+QAbstractCodeFragment;QMapQStringQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
104,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,removeCommonElements#QSetQString;QSetQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
105,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,removeCommonTypes#QSetQString;QSetQString;QListQString;QListQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
106,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,replaceVariablesWithArguments#QMapQStringQList+QAbstractCall;QSetQString;QMapQStringQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
107,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,replaceVariablesWithArguments#QSetQString;QMapQStringQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
108,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,replacementsWithinMethodInvocations#QString;QString;QSetQString;QSetQString;QMapQStringQList+QAbstractCall;QDirection,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
109,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,validStatementForConcatComparison#QAbstractCodeFragment;QAbstractCodeFragment,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
110,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,variableAssignmentWithEverythingReplaced#QAbstractCodeFragment;QAbstractCodeFragment;QReplacementInfo,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
111,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,variableDeclarationsWithEverythingReplaced#QListQVariableDeclaration;QListQVariableDeclaration;QReplacementInfo,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
112,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapperComparator,compare#QUMLOperationBodyMapper;QUMLOperationBodyMapper,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
