,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
109,RefactoringMiner,gr.uom.java.xmi.diff,RemoveMethodAnnotationRefactoring,getOperationAfter#,InlineMethod,NA,0,INLINE_METHOD,1
110,RefactoringMiner,gr.uom.java.xmi.diff,RemoveMethodAnnotationRefactoring,getOperationBefore#,InlineMethod,NA,0,INLINE_METHOD,1
111,RefactoringMiner,gr.uom.java.xmi.diff,RenameAttributeRefactoring,getClassNameAfter#,InlineMethod,NA,0,INLINE_METHOD,1
112,RefactoringMiner,gr.uom.java.xmi.diff,RenameAttributeRefactoring,getClassNameBefore#,InlineMethod,NA,0,INLINE_METHOD,1
113,RefactoringMiner,gr.uom.java.xmi.diff,RenameClassRefactoring,getOriginalClass#,InlineMethod,NA,0,INLINE_METHOD,1
114,RefactoringMiner,gr.uom.java.xmi.diff,RenameClassRefactoring,getRenamedClass#,InlineMethod,NA,0,INLINE_METHOD,1
115,RefactoringMiner,gr.uom.java.xmi.diff,SplitAttributeRefactoring,getClassNameAfter#,InlineMethod,NA,0,INLINE_METHOD,1
116,RefactoringMiner,gr.uom.java.xmi.diff,SplitAttributeRefactoring,getClassNameBefore#,InlineMethod,NA,0,INLINE_METHOD,1
117,RefactoringMiner,gr.uom.java.xmi.diff,StringDistance,editDistance#QString;QString,InlineMethod,"MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD",21,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",21
118,RefactoringMiner,gr.uom.java.xmi.diff,StringDistance,editDistance#QString;QString;I,InlineMethod,MOVE_AND_INLINE_METHOD,1,INLINE_METHOD,1
