project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
gobblin-runtime,org.apache.gobblin.runtime.api,SpecCatalog,getSpecs#QSpecSearchObject,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.embedded,EmbeddedGobblin,getDefaultSysConfig#,MoveMethod,MOVE_METHOD,1,INTERNAL_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.embedded,EmbeddedGobblin,setTemplate#QString,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.embedded,EmbeddedGobblin,usePlugin#QString,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,INTERNAL_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.fork,Fork,compareAndSetForkState#QForkState;QForkState,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,INTERNAL_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.fork,Fork,processRecords#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,NA,0
gobblin-runtime,org.apache.gobblin.runtime.fork,Fork,putRecordImpl#QObject,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,NA,0
gobblin-runtime,org.apache.gobblin.runtime.instance,DefaultGobblinInstanceDriverImpl,constructMetricContext#QConfigurable;QLogger,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,DefaultGobblinInstanceDriverImpl,getInstanceBroker#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,DefaultGobblinInstanceDriverImpl,getJobLauncher#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,DefaultGobblinInstanceDriverImpl,getMetricContext#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,DefaultGobblinInstanceDriverImpl,getMetrics#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,DefaultGobblinInstanceDriverImpl,getMutableJobCatalog#,MoveMethod,NA,0,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,DefaultGobblinInstanceDriverImpl,registerJobLifecycleListener#QJobLifecycleListener,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,DefaultGobblinInstanceDriverImpl,switchMetricContext#QListQTag,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,StandardGobblinInstanceLauncher,getConfigAsProperties#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,StandardGobblinInstanceLauncher,getInstanceName#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,StandardGobblinInstanceLauncher,getLog#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,StandardGobblinInstanceLauncher,getMetricContext#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.instance,StandardGobblinInstanceLauncher,switchMetricContext#QListQTag,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,CachingJobCatalog,addListener#QJobCatalogListener,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
